hyperlinks,vehicle_description,Brand,Model,comment,model_year,classes,low_level,high_level
https://eg.hatla2ee.com/en/new-car/porsche/718,Porsche-718-2025,porsche,718,,2025,10 Classes,"4,944,100","13,058,500"
https://eg.hatla2ee.com/en/new-car/bmw/BMW-I4,BMW-I4-2025,bmw,i4,,2025,1 Classes,"4,950,000", 
https://eg.hatla2ee.com/en/new-car/audi/Q8-E-tron,Audi-Q8-E-tron-2024,audi,q8-e-tron ,,2024,4 Classes,"4,990,000","5,350,000"
https://eg.hatla2ee.com/en/new-car/lexus/LS-500,Lexus-LS-500-2020,lexus,ls-500,,2020,3 Classes, , 
https://eg.hatla2ee.com/en/new-car/bmw/x4,BMW-X4-2025,bmw,x4,,2025,1 Classes,"5,100,000", 
https://eg.hatla2ee.com/en/new-car/bmw/x4,BMW-X4-2024,bmw,x4,,2024,1 Classes,"5,100,000", 
https://eg.hatla2ee.com/en/new-car/volvo/xc90,Volvo-XC90-2024,volvo,xc90,,2024,1 Classes,"5,200,000", 
https://eg.hatla2ee.com/en/new-car/lexus/LX-570,Lexus-LX-570-2020,lexus,lx570,,2020,2 Classes, , 
https://eg.hatla2ee.com/en/new-car/volvo/xc90,Volvo-XC90-2025,volvo,xc90,,2025,1 Classes,"5,290,000", 
https://eg.hatla2ee.com/en/new-car/jeep/Grand-Cherokee-L,Jeep-Grand-Cherokee-L-2025,jeep,grand-cherokee,,2025,1 Classes,"5,400,000", 
https://eg.hatla2ee.com/en/new-car/audi/q7,Audi-Q7-2025,audi,q7,,2025,3 Classes,"5,500,000","6,950,000"
https://eg.hatla2ee.com/en/new-car/audi/q7-shape-facelift,Audi-Q7--Facelift-2024,audi,q7,Facelift,2024,1 Classes,"5,700,000", 
https://eg.hatla2ee.com/en/new-car/bmw/520,BMW-520-2025,bmw,520,,2025,3 Classes,"5,750,000", 
https://eg.hatla2ee.com/en/new-car/mercedes/GLS,Mercedes-GLS-2023,mercedes,gls,,2023,1 Classes, , 
https://eg.hatla2ee.com/en/new-car/bmw/I5,BMW-I5-2025,bmw,i5,,2025,3 Classes,"6,200,000", 
https://eg.hatla2ee.com/en/new-car/bmw/I5,BMW-I5-2024,bmw,i5,,2024,1 Classes, , 
https://eg.hatla2ee.com/en/new-car/mercedes/EQS,Mercedes-EQS-2024,mercedes,eqs,,2024,2 Classes,"6,300,000","7,300,000"
https://eg.hatla2ee.com/en/new-car/audi/RS-e-Tron,Audi-RS-e-Tron-2025,audi,rs-e-tron,,2025,1 Classes,"6,400,000", 
https://eg.hatla2ee.com/en/new-car/bmw/IX,BMW-IX-2024,bmw,ix,,2024,2 Classes,"6,420,000","7,280,000"
https://eg.hatla2ee.com/en/new-car/porsche/Taycan,Porsche-Taycan-2025,porsche,taycan,,2025,9 Classes,"6,433,700","14,489,300"
https://eg.hatla2ee.com/en/new-car/toyota/rav4,Toyota-Rav-4-2024,toyota,rav-4,,2024,1 Classes,"6,550,000", 
https://eg.hatla2ee.com/en/new-car/mercedes/AMG-GT,Mercedes-AMG-GT-2022,mercedes,amg-gt,,2022,1 Classes, , 
https://eg.hatla2ee.com/en/new-car/bmw/x5,BMW-X5-2024,bmw,x5,,2024,2 Classes,"6,800,000","8,400,000"
https://eg.hatla2ee.com/en/new-car/bmw/x5,BMW-X5-2025,bmw,x5,,2025,2 Classes,"7,100,000","8,750,000"
https://eg.hatla2ee.com/en/new-car/audi/q8,Audi-Q8-2025,audi,q8,,2025,2 Classes,"7,300,000","7,600,000"
https://eg.hatla2ee.com/en/new-car/toyota/camry,Toyota-Camry-2024,toyota,camry,,2024,1 Classes,"7,400,000", 
https://eg.hatla2ee.com/en/new-car/audi/q8,Audi-Q8-2024,audi,q8,,2024,1 Classes,"7,500,000", 
https://eg.hatla2ee.com/en/new-car/bmw/IX,BMW-IX-2025,bmw,ix,,2025,1 Classes,"7,550,000", 
https://eg.hatla2ee.com/en/new-car/bmw/x6,BMW-X6-2025,bmw,x6,,2025,2 Classes,"7,700,000","9,250,000"
https://eg.hatla2ee.com/en/new-car/audi/rs5-coupe,Audi-RS5-Coupe-2024,audi,rs5-coupe,,2024,1 Classes,"7,700,000", 
https://eg.hatla2ee.com/en/new-car/porsche/cayenne,Porsche-Cayenne-2025,porsche,cayenne,,2025,7 Classes,"7,786,100","18,767,000"
